City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Haines Junction,0,CA,1551924806,79,60.75,-137.51,-1.18,1.39
Tarko-Sale,92,RU,1551924679,86,64.92,77.78,19,10
Vieques,40,PR,1551924652,78,18.43,-65.83,77,4.7
Sao Filipe,0,CV,1551924807,96,14.9,-24.5,70.42,18.5
Esperance,20,TT,1551924608,88,10.24,-61.45,77,6.93
Longyearbyen,20,NO,1551923400,65,78.22,15.63,5,14.99
Tasiilaq,88,GL,1551919800,62,65.61,-37.64,19.4,25.28
Hanover,75,DE,1551924792,66,52.37,9.74,54,11.41
Mildura,0,AU,1551924066,55,-34.18,142.16,73,8.05
Geraldton,75,CA,1551920400,60,49.72,-86.95,5,9.17
Hermanus,68,ZA,1551924101,94,-34.42,19.24,64.99,3
Bredasdorp,56,ZA,1551923216,87,-34.53,20.04,60.8,6.93
Buala,56,SB,1551924812,80,-8.15,159.59,86.17,6.2
Port Alfred,36,ZA,1551924744,85,-33.59,26.89,70,5.99
Saint-Philippe,1,CA,1551924725,46,45.36,-73.48,12.2,6.53
Tabou,32,CI,1551924814,95,4.42,-7.36,83.74,11.79
Severo-Kurilsk,56,RU,1551924815,100,50.68,156.12,25.69,16.71
Pochutla,5,MX,1551924156,69,15.74,-96.47,82.4,9.33
Luganville,8,VU,1551924815,97,-15.51,167.18,84.19,3.74
Isangel,75,VU,1551920400,74,-19.55,169.27,86,9.17
Havelock,1,US,1551924516,68,34.88,-76.9,39.2,3.36
Punta Arenas,0,CL,1551924190,100,-53.16,-70.91,42.8,13.87
Havre-Saint-Pierre,40,CA,1551920400,45,50.23,-63.6,5,10.29
Tessalit,0,ML,1551924817,23,20.2,1.01,54.4,8.88
Port Augusta,44,AU,1551924642,33,-32.49,137.76,73.99,8.05
Jamestown,24,AU,1551924818,49,-33.21,138.6,67.18,9.78
Grand Island,90,US,1551924662,79,40.92,-98.34,28.4,5.82
Vila,75,IT,1551924804,93,45.18,8.4,53.01,5.82
Kyren,44,RU,1551924820,67,51.68,102.13,28.12,2.17
Valdivia,90,CL,1551920400,100,-39.81,-73.25,60.8,6.93
Gladstone,40,AU,1551924200,66,-23.84,151.26,90,12.75
Georgetown,40,GY,1551920400,83,6.8,-58.16,80.6,11.41
Cao Bang,92,VN,1551924822,100,22.67,106.25,57.01,3.62
Yeniseysk,48,RU,1551924823,84,58.45,92.17,20.65,3.51
Te Anau,64,NZ,1551924525,61,-45.41,167.72,63.17,18.61
East London,0,ZA,1551924751,100,-33.02,27.91,75.37,23.2
Vila Franca do Campo,75,PT,1551924821,100,37.72,-25.43,59,11.41
Guerrero Negro,0,MX,1551924824,82,27.97,-114.04,60.02,5.75
Carutapera,92,BR,1551924824,97,-1.2,-46.02,76.99,4.63
Araceli,0,PH,1551924825,98,10.55,119.99,80.59,16.04
Gizo,40,IL,1551924785,87,31.8,34.94,50,5.82
Tiksi,68,RU,1551924826,79,71.64,128.87,11.69,3.4
Sebinkarahisar,76,TR,1551924826,98,40.29,38.42,29.29,2.17
Key Largo,1,US,1551924709,63,25.09,-80.45,66,11.41
Klaksvik,44,FO,1551923400,100,62.23,-6.59,32,1.12
Eyl,0,SO,1551924827,100,7.98,49.82,71.68,8.66
Svetlogorsk,90,RU,1551922200,86,53.14,59.15,33.8,15.66
Barrow,8,AR,1551924828,64,-38.31,-60.23,78.7,17.49
Bilma,0,NE,1551924829,23,18.69,12.92,51.88,9.66
Road Town,20,VG,1551924453,74,18.42,-64.62,78.8,11.41
Villa Maria,20,CO,1551920400,87,4.5,-74.09,57.2,2.24
Port Macquarie,90,AU,1551924245,82,-31.43,152.91,69.01,3.36
Chuy,12,UY,1551924834,92,-33.69,-53.46,74.74,11.45
Luderitz,0,NA,1551924835,92,-26.65,15.16,59.39,11.45
Akdepe,0,TM,1551922200,74,42.05,59.39,35.6,4.7
Ribeira Grande,88,PT,1551924836,95,38.52,-28.7,62,19.62
Codrington,90,AU,1551924608,74,-28.95,153.24,82.4,18.34
Marevo,20,BA,1551924000,70,43.57,18.7,46.4,8.05
Chapais,1,CA,1551920400,76,49.78,-74.86,-7.61,4.7
Miri,8,NG,1551924838,55,10.31,9.75,62.77,3.62
Padang,40,ID,1551920400,88,-0.92,100.36,80.6,4.7
Grand Gaube,40,MU,1551924545,83,-20.01,57.66,77,7.31
Marquette,90,US,1551924109,85,46.54,-87.4,12.2,3.36
Arlit,0,NE,1551924840,44,18.74,7.39,58.49,3.06
Talnakh,64,RU,1551924840,81,69.49,88.39,3.1,22.86
Clyde River,90,CA,1551920400,83,70.47,-68.59,-5.81,9.17
Goderich,68,CA,1551924808,86,43.74,-81.71,17.01,8.01
Shelopugino,0,RU,1551924841,50,51.65,117.56,32.35,3.62
Hofn,92,IS,1551924763,100,64.25,-15.21,35.14,19.39
Lexington,1,US,1551924684,54,38.05,-84.5,28.4,3.36
Bereda,80,ES,1551924840,87,43.27,-7.54,48.99,5.82
Saskylakh,64,RU,1551924843,78,71.97,114.09,-4.38,14.7
Avera,1,US,1551924835,33,33.19,-82.53,44.6,3.36
Barhi,0,IN,1551920400,87,24.31,85.42,53.6,4.7
Rio Grande,0,BR,1551924845,86,-32.03,-52.1,77.44,13.58
Namatanai,56,PG,1551924845,100,-3.66,152.44,83.15,1.95
Hohhot,0,CN,1551920400,28,40.81,111.65,28.4,4.47
Soyo,48,AO,1551924846,94,-6.13,12.37,75.46,2.95
Sisimiut,36,GL,1551924572,74,66.94,-53.67,-0.96,1.61
Maumere,32,ID,1551924847,100,-8.63,122.22,81.62,12.12
Birao,0,CF,1551924847,40,10.3,22.78,69.16,10.67
Moron,64,VE,1551924848,92,10.49,-68.2,67.36,2.62
Gornoye Loo,90,RU,1551922200,93,43.72,39.61,42.8,11.18
Mar del Plata,92,AR,1551924679,92,-46.43,-67.52,52.69,11.9
Araouane,0,ML,1551924849,30,18.9,-3.53,52.06,2.62
Sangar,68,RU,1551924849,67,63.92,127.47,4.67,6.42
Sao Jose da Coroa Grande,92,BR,1551924850,100,-8.9,-35.15,74.87,1.39
Nangomba,88,TZ,1551924850,97,-10.9,38.52,70.42,5.64
Rocha,0,UY,1551924851,74,-34.48,-54.34,75.64,8.99
Port Lincoln,0,AU,1551924851,80,-34.72,135.86,68.71,11.79
Necochea,0,AR,1551924490,81,-38.55,-58.74,77,3
Barrhead,1,CA,1551920400,71,54.12,-114.4,8.6,13.87
Gamba,0,CN,1551924852,67,28.28,88.52,8.32,4.41
Vaini,0,IN,1551920400,87,15.34,74.49,53.6,2.95
Plettenberg Bay,0,ZA,1551924853,100,-34.05,23.37,67.72,15.14
Norsup,44,VU,1551924854,92,-16.07,167.38,82.97,2.95
Cuamba,100,MZ,1551924854,98,-14.8,36.54,69.02,3.4
Kavieng,44,PG,1551924855,100,-2.57,150.8,83.83,1.16
Bealanana,80,MG,1551924855,96,-14.54,48.75,64.39,2.73
Torbay,90,CA,1551924219,100,47.66,-52.73,23,9.17
La Primavera,0,AR,1551924000,65,-32.92,-68.67,77,3.36
Shvartsevskiy,0,RU,1551924856,59,54.1,37.99,1.48,4.97
Galveston,1,US,1551924853,68,40.58,-86.19,26.6,12.75
Sorland,48,NO,1551924857,100,67.67,12.69,35,18.05
Kapaa,75,US,1551924493,60,22.08,-159.32,77,19.46
Ouesso,68,CG,1551924858,95,1.61,16.05,72.8,2.17
Chateaudun,92,FR,1551924773,93,48.08,1.33,48.2,13.87
Valleyview,12,CA,1551924858,69,55.07,-117.28,9.8,10.11
Twin Falls,40,US,1551924629,87,42.57,-114.46,43,4.7
Kalmunai,24,LK,1551924859,92,7.42,81.82,80.05,4.41
Kropotkin,88,RU,1551924016,61,45.43,40.58,46,3.85
Ambilobe,92,MG,1551924860,99,-13.19,49.05,70.24,4.07
Altay,0,CN,1551924860,69,47.83,88.13,16.69,1.72
La Belgica,75,BO,1551920400,94,-17.57,-63.23,77,8.05
Khatanga,56,RU,1551924862,77,71.98,102.47,-0.78,12.01
Brae,88,GB,1551923400,86,60.4,-1.35,42.8,26.4
Namibe,80,AO,1551924863,100,-15.19,12.15,77.75,9.55
Tsabong,0,BW,1551924863,46,-26.02,22.4,75.1,10.22
College,90,US,1551924637,79,64.86,-147.8,26.01,2.39
Santa Rosa,20,AR,1551924865,62,-36.62,-64.29,78.34,13.47
Thompson,20,CA,1551920400,60,55.74,-97.86,5,6.93
Shingu,75,JP,1551920400,66,33.72,135.99,53.6,18.34
Lavrentiya,64,RU,1551924866,100,65.58,-170.99,18.67,8.55
Chicama,75,PE,1551920400,83,-7.84,-79.15,73.4,10.29
Ixtapa,75,MX,1551924605,88,20.71,-105.21,75.99,6.93
Kitui,0,KE,1551924868,91,-1.37,38.02,59.57,2.17
Meulaboh,24,ID,1551924868,100,4.14,96.13,84.32,3.4
Sur,0,OM,1551924870,100,22.57,59.53,68.75,7.2
Coquimbo,0,CL,1551920400,87,-29.95,-71.34,60.8,3.36
Acapulco,5,MX,1551919620,83,16.86,-99.88,80.6,9.17
Zvishavane,92,ZW,1551924871,97,-20.32,30.05,66.59,6.76
Sistranda,0,NO,1551924799,62,63.73,8.83,25,10.29
Maceio,0,BR,1551924000,83,-9.67,-35.74,77,3.36
Leshukonskoye,56,RU,1551924872,76,64.9,45.76,16.1,9.22
Kharitonovo,68,RU,1551924873,78,61.4,47.5,8.54,12.01
Ohara,75,JP,1551924855,71,35.12,135.83,54,9.17
Sorata,36,BO,1551924873,99,-15.77,-68.65,52.64,0.94
Tuatapere,92,NZ,1551924606,92,-46.13,167.69,55,10
Faya,40,SA,1551920400,82,18.39,42.45,55.4,4.7
Naze,8,NG,1551924874,95,5.43,7.07,73.03,5.41
Braganca Paulista,0,BR,1551924000,88,-22.95,-46.54,73.4,6.93
Caravelas,76,BR,1551924875,100,-17.73,-39.27,84.14,10.67
Katsuura,40,JP,1551923683,66,33.93,134.5,53.6,16.11
Saldanha,20,PT,1551924876,96,41.42,-6.55,39.05,7.2
Hovd,90,NO,1551924799,73,63.83,10.7,25,12.75
La Asuncion,76,EC,1551924877,94,-1.64,-78.74,47.56,2.06
Nyaunglebin,0,MM,1551924877,71,17.95,96.73,80.32,4.52
Kaitangata,100,NZ,1551924863,75,-46.28,169.85,61,20
Lagoa,0,PT,1551924728,87,37.14,-8.45,52,5.82
Cidreira,24,BR,1551924879,89,-30.17,-50.22,76.09,9.22
Veselynove,0,UA,1551924879,80,47.36,31.24,28.39,2.84
Naryan-Mar,0,RU,1551924879,52,67.67,53.09,-4.65,11.01
Ulaangom,64,MN,1551924880,76,49.98,92.07,17,1.28
Banda Aceh,20,ID,1551924880,83,5.56,95.32,83.2,2.51
Kruisfontein,68,ZA,1551924880,88,-34,24.73,66.77,17.72
Salalah,0,OM,1551919800,73,17.01,54.1,73.4,4.7
Benghazi,0,LY,1551924730,100,32.12,20.07,59.89,6.42
Hailar,0,CN,1551924881,46,49.2,119.7,29.87,5.97
Saint George,20,GR,1551924806,81,39.45,22.34,52,2.24
Bandarbeyla,0,SO,1551924882,100,9.49,50.81,76.49,9.66
Hammerfest,90,NO,1551923400,92,70.66,23.68,19.4,12.75
Muswellbrook,32,AU,1551924608,64,-32.27,150.89,70,5.99
Sungai Besar,75,MY,1551920400,88,3.68,100.99,78.8,3.36
Baijiantan,64,CN,1551924884,84,45.63,85.18,22.27,3.18
Llangefni,92,GB,1551924672,70,53.26,-4.31,46.4,25.28
Narsaq,40,GL,1551923400,29,60.91,-46.05,37.4,19.46
Srandakan,92,ID,1551924885,95,-7.94,110.25,79.51,4.18
Okha,0,RU,1551924886,99,53.59,142.95,15.88,9.44
Norman Wells,40,CA,1551920400,47,65.28,-126.83,15.8,2.24
Victoria,75,BN,1551922200,78,5.28,115.24,86,5.82
Northam,20,GB,1551924811,81,51.04,-4.21,46,10.29
Severnoye,0,RU,1551924887,87,54.09,52.54,18.22,13.69
San Cristobal,75,EC,1551924086,87,-0.39,-78.55,59,6.93
Ilulissat,32,GL,1551923400,48,69.22,-51.1,21.2,17.22
Khandyga,88,RU,1551924889,61,62.65,135.58,0.4,3.51
Sola,75,NO,1551924799,81,58.89,5.65,43,16.11
Whitley Bay,8,GB,1551924817,93,55.04,-1.44,43,6.93
Vardo,40,US,1551924862,49,39.62,-77.74,24.8,5.82
Verkhnevilyuysk,36,RU,1551924891,60,63.45,120.31,21.46,10.22
Novyy Urengoy,76,RU,1551924892,84,66.08,76.63,16.64,21.3
Shestakovo,64,RU,1551924892,76,56.49,103.96,24.25,4.18
Flinders,0,AU,1551924870,32,-34.58,150.85,73.99,12.75
Abaza,24,RU,1551924893,78,52.65,90.1,17.41,3.85
Hambantota,40,LK,1551921000,100,6.12,81.12,77,2.24
Waipawa,12,NZ,1551924556,37,-39.94,176.59,82,5.99
Aldine,90,US,1551924617,62,29.93,-95.38,53.6,12.75
Aklavik,90,CA,1551920400,56,68.22,-135.01,14,3.29
Mao,40,DO,1551924653,74,19.55,-71.08,78.8,11.41
Cocobeach,20,GA,1551922200,83,1.01,9.58,78.8,10.29
Marzuq,64,YE,1551924895,95,14.4,46.47,58.49,2.17
Maragogi,92,BR,1551924880,100,-9.01,-35.22,74.87,1.39
Kikwit,8,CD,1551924896,89,-5.04,18.82,72.89,2.73
Rosarito,40,CO,1551924000,94,4.91,-75.23,73.4,2.24
Noumea,75,NC,1551922200,62,-22.28,166.46,87.8,10.29
Carnarvon,88,ZA,1551924897,31,-30.97,22.13,71.23,7.2
Pizarro,44,CO,1551924898,91,4.95,-77.37,79.37,4.41
Elliot Lake,90,CA,1551920400,84,46.37,-82.65,6.8,2.24
Fare,48,PF,1551924899,97,-16.7,-151.02,84.64,13.02
Russell,0,AR,1551924000,65,-33.01,-68.8,77,3.36
Begusarai,0,IN,1551924900,45,25.41,86.13,67.27,4.41
Saint-Louis,88,CH,1551924891,53,47.59,7.56,51.8,8.05
Cherskiy,24,RU,1551924904,65,68.75,161.3,-0.51,2.39
Port Hardy,40,CA,1551920400,38,50.7,-127.42,41,6.93
Sicuani,36,PE,1551924904,91,-14.27,-71.23,37.12,2.17
Buchanan,40,LR,1551920400,94,5.88,-10.05,78.8,6.08
Port Hedland,0,AU,1551922200,26,-20.31,118.58,102.2,11.41
Bambous Virieux,20,MU,1551924844,88,-20.34,57.76,75.2,2.24
Faanui,48,PF,1551924906,99,-16.48,-151.75,84.5,13.69
Saint-Augustin,92,FR,1551924730,76,44.83,-0.61,51.8,23.04
Touros,20,BR,1551924000,88,-5.2,-35.46,78.8,5.82
Bani,8,PH,1551924908,67,15.89,120.27,85.81,2.73
Coihaique,44,CL,1551920400,76,-45.58,-72.07,53.6,5.82
Miandrivazo,92,MG,1551924908,97,-19.53,45.46,69.47,4.74
Lomza,20,PL,1551924909,85,53.18,22.06,35.09,14.36
Tilichiki,64,RU,1551924909,85,60.47,166.1,23.26,9.66
Riberalta,12,BO,1551924909,94,-11,-66.08,76.72,2.39
Sechura,80,PE,1551924758,76,-5.56,-80.82,78.16,7.76
Stephenville,1,US,1551924906,42,32.22,-98.2,50,9.17
Qena,0,EG,1551920400,66,26.16,32.72,55.4,2.24
Upernavik,0,GL,1551924912,100,72.79,-56.15,3.46,19.51
Ahmadnagar,0,IN,1551924912,53,19.09,74.75,64.7,4.18
Rameshki,0,RU,1551924912,74,57.35,36.05,9.89,12.68
Alofi,75,NU,1551920400,69,-19.06,-169.92,82.4,12.75
Bosaso,80,SO,1551924913,100,11.28,49.18,76.27,1.72
Nynashamn,92,SE,1551924867,100,58.9,17.95,37,10.29
Repatriacion,20,PY,1551924914,92,-25.53,-55.95,74.42,3.18
Mahibadhoo,8,MV,1551924916,100,3.78,72.97,82.48,6.53
Cedar Rapids,1,US,1551924728,67,41.98,-91.67,26.6,4.7
Obo,80,CF,1551924918,89,5.39,26.49,67.99,8.66
Bar Harbor,1,US,1551924918,55,44.39,-68.2,16,5.82
Tanete,88,ID,1551924920,73,-3.94,119.78,83.92,14.36
Hervey Bay,40,AU,1551924910,62,-25.3,152.85,89.01,12.75
Gaeta,32,IT,1551924913,78,41.22,13.56,54,1.61
Zhangye,20,CN,1551924921,75,38.94,100.46,39.37,6.64
Husavik,0,CA,1551924871,77,50.56,-96.99,1.99,2.62
Bathsheba,20,BB,1551920400,73,13.22,-59.52,77,16.11
Ullapool,92,GB,1551924919,80,57.9,-5.16,43,7
Lorengau,8,PG,1551924922,100,-2.02,147.27,82.7,0.6
Harper,1,US,1551924861,52,30.3,-99.24,48,5.82
Capreol,75,CA,1551924091,65,46.71,-80.92,5,8.05
Henties Bay,48,NA,1551924185,92,-22.12,14.28,64,4
Hamilton,40,BM,1551924103,59,32.3,-64.78,61,20.8
Marfino,0,RU,1551923843,72,56.07,37.56,16,4.47
Hokitika,100,NZ,1551924924,96,-42.72,170.96,62.54,19.84
Grand Bank,75,CA,1551924630,92,47.1,-55.77,26.01,16.11
Axim,20,GH,1551924925,96,4.87,-2.24,83.87,12.12
Nelson,88,CA,1551924926,81,49.49,-117.29,20.83,1.95
Samarai,32,PG,1551924926,100,-10.62,150.67,83.15,4.41
Santona,40,ES,1551924666,71,43.44,-3.46,52,23.04
Peterongan,40,ID,1551922200,78,-7.54,112.28,80.6,6.93
Mount Gambier,44,AU,1551920400,42,-37.83,140.78,62.6,10.29
Muros,75,ES,1551924905,87,42.77,-9.06,48.99,2.24
Nueva Loja,48,EC,1551924818,90,0.08,-76.88,74.11,1.95
Cabo San Lucas,75,MX,1551924626,43,22.89,-109.91,75.2,6.2
Culiacan,36,MX,1551924858,71,24.8,-107.39,73,3
Port Blair,20,IN,1551920400,88,11.67,92.75,75.2,2.24
Itaituba,0,BR,1551924929,88,-4.26,-55.99,75.14,3.18
Oranjemund,80,ZA,1551924929,95,-28.55,16.43,63.76,3.62
Satu Mare,44,RO,1551924651,56,47.79,22.88,42.8,9.17
Pacifica,90,US,1551924793,87,37.61,-122.49,55.4,14.99
Xai-Xai,76,MZ,1551924930,100,-25.04,33.64,77.08,8.99
Tautira,40,PF,1551924784,66,-17.73,-149.15,87.8,8.05
Cockburn Town,8,TC,1551924826,98,21.46,-71.14,78.34,11.56
Harrislee,92,DE,1551924904,100,54.8,9.39,48.99,5.82
Rawson,20,AR,1551921600,27,-43.3,-65.11,77,9.17
Dunmore Town,0,BS,1551924858,100,25.5,-76.65,70.37,17.49
Rio Gallegos,0,AR,1551920400,70,-51.62,-69.22,42.8,10.29
Gafanha da Encarnacao,40,PT,1551924530,71,40.62,-8.73,51.01,2.24
Isla Vista,75,US,1551924927,87,34.41,-119.86,57.99,9.17
Kavaratti,0,IN,1551924934,100,10.57,72.64,82.03,12.8
Buta,92,CD,1551924935,99,2.79,24.73,69.92,2.62
Boca do Acre,12,BR,1551924936,91,-8.76,-67.39,78.29,1.61
Ketchikan,1,US,1551923760,56,55.34,-131.65,44.6,13.87
Sungaipenuh,12,ID,1551924936,78,-2.08,101.38,76.9,1.61
Jucas,76,BR,1551924937,96,-6.53,-39.53,69.43,2.06
Taywarah,12,AF,1551924937,75,33.35,64.42,18.85,3.51
Bilibino,48,RU,1551924937,77,68.06,166.44,7.87,3.18
Sibolga,20,ID,1551924938,84,1.74,98.78,78.92,2.28
Anadyr,75,RU,1551924789,85,64.73,177.51,23,4.47
Leningradskiy,80,RU,1551924938,100,69.38,178.42,8.68,4.85
Jagdalpur,0,IN,1551924939,36,19.09,82.02,72.67,4.63
Kharian,20,PK,1551924000,93,32.81,73.87,51.8,3.36
Sao Joao da Barra,68,BR,1551924940,100,-21.64,-41.05,79.55,9.44
Zykovo,0,RU,1551924729,63,55.24,40.35,7,1.01
Morgan City,1,US,1551924940,70,29.7,-91.21,48.99,7.65
Karacakoy,0,TR,1551924867,86,41.4,28.38,43,11.41
Pangnirtung,44,CA,1551924941,67,66.15,-65.72,-9.87,6.42
Ambulu,92,ID,1551924941,100,-8.35,113.61,74.83,16.04
Chimore,88,BO,1551924942,95,-16.98,-65.13,74.56,2.62
Bukama,44,CD,1551924942,92,-9.2,25.85,69.07,2.51
Nizwa,0,OM,1551924943,80,22.93,57.53,49.81,1.61
Westport,80,IE,1551924784,85,53.8,-9.52,43,13
Wattegama,0,LK,1551924944,88,7.35,80.68,76.22,3.74
Alakurtti,80,RU,1551924834,91,66.96,30.34,6.01,1.99
Constitucion,75,MX,1551924617,9,23.99,-104.67,75.2,10.29
Mount Isa,0,AU,1551922200,26,-20.73,139.49,93.2,10.29
Yining,92,CN,1551924945,59,29.04,114.56,49.09,3.29
Valentigney,0,CH,1551924782,43,47.46,6.83,50,16.11
Great Falls,90,US,1551924831,92,47.5,-111.29,7,4.18
Tupik,0,RU,1551924946,60,54.43,119.94,26.72,3.62
Labuhan,48,ID,1551924947,71,-2.54,115.51,83.38,2.84
Ahipara,44,NZ,1551924304,77,-35.17,173.16,82.99,1.01
Tual,20,ID,1551924947,100,-5.67,132.75,83.69,4.18
Gat,0,SN,1551922200,77,14.69,-16.54,64.4,20.8
Katobu,76,ID,1551924948,92,-4.94,122.53,83.65,6.76
Boyabat,56,TR,1551924949,86,41.47,34.77,27.04,2.17
Fortuna,0,ES,1551924933,44,38.18,-1.13,57.2,3.36
Abalak,0,NE,1551924949,39,15.46,6.28,61.55,4.41
Monroe,90,US,1551924911,62,41.91,-83.4,23,6.93
Little Current,90,CA,1551924124,84,45.98,-81.93,7,2.24
Juegang,0,CN,1551924876,64,32.31,121.18,52,16.71
Aswan,0,EG,1551920400,28,24.09,32.9,57.2,5.82
Ada,40,US,1551924948,84,47.3,-96.52,3.99,5.82
Tayu,20,JP,1551924852,62,35.06,136.67,62.01,21.92
Morant Bay,20,JM,1551920400,54,17.88,-76.41,80.6,9.17
Morden,1,CA,1551923964,91,49.19,-98.1,1,11.41
Jabonga,48,PH,1551924953,89,9.34,125.52,80.72,13.02
Constantine,0,DZ,1551922200,43,36.36,6.61,53.6,10.29
Ayorou,0,NE,1551924953,28,14.73,0.92,58.04,2.73
Gamboma,48,CG,1551924954,94,-1.87,15.88,69.02,11.01
Kita,75,JP,1551924921,87,35.76,139.74,52,14.99
Ponta Delgada,75,PT,1551924939,100,37.73,-25.67,59,11.41
Ahuimanu,40,US,1551924787,60,21.44,-157.84,75.2,17.22
Sinnamary,92,GF,1551924955,96,5.38,-52.96,79.1,13.35
Lampa,0,CL,1551924932,24,-33.29,-70.87,71.6,8.05
Nouadhibou,0,MR,1551920400,82,20.93,-17.03,62.6,21.92
High Level,20,CA,1551924000,61,58.52,-117.13,14,5.82
Hasaki,75,JP,1551924823,87,35.73,140.83,48.2,19.46
Calama,0,CL,1551920400,39,-22.46,-68.93,64.4,12.75
Raudeberg,76,NO,1551924904,65,61.99,5.14,41,8.05
Aksu,90,KZ,1551922200,92,52.04,76.93,24.8,8.95
San Quintin,0,PH,1551924958,48,17.54,120.52,86.17,3.74
Lasa,92,CY,1551924957,77,34.92,32.53,59,13.87
Thunder Bay,75,CA,1551924928,51,48.41,-89.26,10.4,12.75
Kumbo,12,CM,1551924960,81,6.21,10.69,61.78,0.6
Kholm-Zhirkovskiy,0,RU,1551924960,76,55.52,33.47,9.04,7.76
Bastia,75,IT,1551924951,93,44.6,8.98,55.99,23.04
Mandali,0,IQ,1551924961,69,33.75,45.55,44.45,5.64
Jeronimo Monteiro,12,BR,1551924961,94,-20.79,-41.4,69.07,2.51
Jishou,92,CN,1551924962,100,28.26,109.7,46.34,11.23
Simpang,75,MY,1551920400,88,4.82,100.71,78.8,3.36
